Ones Proportion;Fitness Mean;Fitness Standard Deviation;Selection Error
0.50084;50.084;5.186611996284277;0
0.531;53.1;4.044007912949726;1240
0.55608;55.608;3.5964337891861704;1234
0.57852;57.852;3.1543772761037965;1293
0.6;60.0;3.0146309890266836;1244
0.62372;62.372;3.1025176872984934;1158
0.64436;64.436;2.8520000000000003;1240
0.668;66.8;2.845347079004599;1119
0.68824;68.824;2.9504277655960323;1095
0.71152;71.152;2.890137712981858;1044
0.73268;73.268;2.5884698182517054;1002
0.7524;75.24;2.5310867231290186;958
0.77324;77.324;2.5867013743375957;892
0.79072;79.072;2.634163244751552;782
0.80932;80.932;2.4866394994047663;745
0.82656;82.656;2.4790449774056116;721
0.84424;84.424;2.3074280053774205;657
0.86076;86.076;2.248160136645075;563
0.87664;87.664;2.142686164607406;534
0.89108;89.108;1.9121548054485535;453
0.90396;90.396;1.6849878337839723;400
0.91716;91.716;1.6060336235583592;359
0.92944;92.944;1.5533396280273037;290
0.94144;94.144;1.5528245232478812;255
0.95172;95.172;1.396572948327441;180
0.96156;96.156;1.2944744107165669;162
