BestFitness	Seconds	Generations
16	58	0
16	118	1
16	178	2
15	239	3
15	298	4
15	351	5
15	412	6
14	470	7
14	528	8
12	584	9
12	643	10
12	700	11
12	758	12
12	815	13
12	877	14
12	931	15
12	986	16
12	1040	17
12	1097	18
12	1154	19
12	1206	20
12	1262	21
10	1318	22
10	1373	23
10	1430	24
10	1488	25
10	1541	26
8	1599	27
8	1653	28
8	1703	29
8	1757	30
8	1814	31
8	1867	32
8	1926	33
8	1977	34
8	2031	35
8	2084	36
8	2138	37
8	2189	38
8	2245	39
8	2300	40
8	2355	41
8	2405	42
8	2460	43
8	2511	44
8	2562	45
8	2612	46
8	2665	47
8	2717	48
8	2772	49
8	2824	50
8	2875	51
8	2927	52
8	2977	53
8	3027	54
8	3079	55
8	3132	56
8	3182	57
6	3232	58
6	3282	59
6	3334	60
6	3383	61
6	3436	62
6	3490	63
6	3546	64
6	3597	65
6	3646	66
6	3699	67
6	3751	68
6	3806	69
6	3858	70
6	3906	71
6	3952	72
6	4006	73
6	4061	74
6	4112	75
6	4164	76
6	4216	77
6	4269	78
6	4322	79
6	4378	80
6	4428	81
6	4479	82
6	4528	83
6	4579	84
6	4628	85
6	4677	86
6	4727	87
6	4776	88
6	4824	89
6	4870	90
6	4918	91
6	4967	92
5	5019	93
5	5066	94
5	5114	95
5	5160	96
5	5208	97
5	5256	98
5	5301	99
5	5346	100
5	5389	101
5	5432	102
5	5475	103
5	5518	104
5	5563	105
5	5606	106
5	5649	107
5	5691	108
5	5736	109
5	5781	110
5	5823	111
5	5864	112
5	5905	113
5	5948	114
5	5990	115
5	6034	116
5	6076	117
5	6116	118
5	6155	119
5	6193	120
5	6232	121
5	6271	122
5	6309	123
5	6345	124
5	6383	125
5	6421	126
5	6460	127
5	6500	128
5	6536	129
5	6573	130
5	6612	131
5	6650	132
5	6688	133
5	6724	134
5	6761	135
5	6797	136
5	6835	137
5	6874	138
5	6909	139
5	6943	140
5	6977	141
5	7010	142
5	7044	143
5	7077	144
5	7110	145
5	7142	146
5	7175	147
5	7204	148
5	7236	149
5	7267	150
5	7298	151
5	7328	152
5	7359	153
5	7389	154
5	7419	155
5	7448	156
5	7477	157
5	7507	158
5	7537	159
5	7566	160
5	7596	161
5	7625	162
5	7654	163
5	7683	164
5	7712	165
5	7741	166
5	7770	167
5	7800	168
5	7829	169
5	7858	170
5	7887	171
5	7917	172
5	7946	173
5	7976	174
5	8005	175
5	8034	176
5	8063	177
5	8093	178
5	8122	179
5	8151	180
5	8180	181
5	8209	182
5	8238	183
5	8268	184
5	8297	185
5	8326	186
5	8356	187
5	8387	188
5	8416	189
5	8445	190
5	8475	191
5	8504	192
5	8534	193
5	8563	194
5	8593	195
5	8622	196
5	8651	197
5	8681	198
5	8710	199
5	8740	200
5	8769	201
5	8798	202
5	8827	203
5	8856	204
5	8886	205
5	8915	206
5	8944	207
5	8974	208
5	9002	209
5	9032	210
5	9062	211
5	9091	212
5	9121	213
5	9150	214
5	9178	215
5	9208	216
5	9237	217
5	9266	218
5	9295	219
5	9323	220
5	9353	221
5	9382	222
5	9412	223
5	9441	224
5	9470	225
5	9500	226
5	9529	227
5	9558	228
5	9587	229
5	9616	230
5	9646	231
5	9675	232
5	9705	233
5	9734	234
5	9763	235
5	9792	236
5	9822	237
5	9851	238
5	9880	239
5	9909	240
5	9938	241
5	9968	242
5	9997	243
5	10026	244
5	10055	245
5	10084	246
5	10113	247
5	10142	248
5	10171	249
5	10200	250
5	10229	251
5	10259	252
5	10288	253
5	10317	254
5	10346	255
5	10375	256
5	10405	257
5	10434	258
5	10463	259
5	10493	260
5	10522	261
5	10551	262
5	10580	263
5	10609	264
5	10638	265
5	10667	266
5	10696	267
5	10725	268
5	10754	269
5	10784	270
5	10813	271
