=====================
K = 18
BestFitness	Seconds	Generations
148	3	0
148	6	1
145	8	2
145	11	3
145	13	4
143	16	5
143	18	6
143	21	7
138	24	8
138	26	9
138	29	10
138	31	11
134	34	12
131	36	13
131	39	14
131	41	15
129	43	16
129	46	17
122	48	18
122	51	19
122	53	20
122	55	21
117	58	22
105	60	23
105	63	24
105	65	25
105	67	26
97	69	27
97	71	28
95	74	29
95	76	30
92	77	31
89	79	32
87	81	33
82	83	34
82	85	35
62	87	36
62	88	37
62	90	38
62	92	39
62	93	40
58	95	41
51	96	42
43	98	43
30	99	44
30	100	45
19	102	46
19	103	47
16	104	48
16	105	49
11	106	50
6	106	51
5	107	52
4	108	53
1	108	54
1	108	55
1	109	56
0	109	57
109 seconds, 58 generations
=====================
=====================
K = 17
BestFitness	Seconds	Generations
184	3	0
184	6	1
172	9	2
172	12	3
172	15	4
172	17	5
172	20	6
171	23	7
171	25	8
171	28	9
171	31	10
164	33	11
164	36	12
164	38	13
164	42	14
164	45	15
164	48	16
163	50	17
158	53	18
158	56	19
158	58	20
158	61	21
158	63	22
147	66	23
147	68	24
147	71	25
147	73	26
147	76	27
147	79	28
147	81	29
147	84	30
147	87	31
147	90	32
147	94	33
147	97	34
147	100	35
140	103	36
140	106	37
140	109	38
138	113	39
138	115	40
138	118	41
134	120	42
125	123	43
125	125	44
119	128	45
119	132	46
119	134	47
116	137	48
97	139	49
97	141	50
85	144	51
77	146	52
70	148	53
54	149	54
49	151	55
44	153	56
33	154	57
27	156	58
14	157	59
12	158	60
8	159	61
4	159	62
3	160	63
2	161	64
0	161	65
161 seconds, 66 generations
=====================
=====================
K = 16
BestFitness	Seconds	Generations
228	4	0
220	7	1
220	10	2
220	13	3
214	16	4
214	19	5
214	22	6
208	24	7
203	27	8
203	30	9
195	33	10
195	36	11
195	39	12
195	41	13
195	44	14
195	47	15
195	50	16
192	52	17
191	55	18
191	58	19
185	60	20
185	63	21
182	66	22
175	68	23
175	71	24
174	73	25
142	76	26
142	78	27
142	81	28
142	83	29
142	86	30
142	88	31
142	91	32
142	93	33
142	95	34
133	98	35
133	100	36
132	102	37
128	104	38
112	106	39
103	108	40
84	110	41
84	112	42
68	114	43
68	115	44
40	117	45
27	118	46
19	120	47
19	121	48
4	122	49
3	123	50
3	123	51
1	124	52
0	124	53
124 seconds, 54 generations
=====================
=====================
K = 15
BestFitness	Seconds	Generations
271	4	0
263	7	1
263	10	2
263	13	3
263	16	4
263	19	5
259	22	6
255	25	7
255	28	8
255	31	9
242	34	10
242	37	11
242	39	12
239	42	13
239	45	14
222	48	15
222	51	16
222	54	17
222	56	18
222	59	19
222	62	20
222	65	21
222	68	22
222	70	23
215	73	24
215	76	25
215	78	26
215	81	27
203	84	28
203	86	29
203	89	30
203	91	31
198	94	32
198	96	33
196	99	34
196	101	35
194	103	36
185	106	37
181	108	38
181	111	39
181	113	40
171	116	41
171	118	42
162	120	43
162	122	44
161	125	45
161	127	46
161	129	47
161	132	48
136	134	49
134	136	50
109	138	51
100	140	52
98	142	53
98	144	54
98	146	55
78	147	56
33	149	57
23	150	58
23	152	59
23	153	60
22	154	61
22	155	62
18	156	63
18	157	64
16	157	65
16	158	66
16	159	67
16	159	68
16	160	69
16	160	70
16	160	71
16	161	72
16	161	73
16	161	74
16	162	75
16	162	76
16	162	77
16	162	78
16	163	79
16	163	80
16	163	81
16	163	82
16	164	83
16	164	84
16	164	85
16	165	86
16	165	87
16	165	88
16	165	89
16	166	90
16	166	91
16	166	92
16	166	93
16	167	94
16	167	95
16	167	96
16	167	97
16	168	98
16	168	99
16	168	100
16	169	101
16	169	102
16	169	103
16	169	104
16	170	105
16	170	106
16	170	107
16	170	108
16	171	109
16	171	110
16	171	111
16	172	112
16	172	113
16	172	114
16	172	115
16	173	116
16	173	117
16	173	118
16	174	119
16	174	120
16	174	121
16	174	122
16	175	123
