=====================
K = 30
BestFitness	Seconds
4	1
3	1
3	2
3	2
3	2
3	3
3	3
3	3
3	3
3	4
3	4
3	4
3	5
2	5
2	5
2	5
1	6
1	6
1	6
1	7
1	7
1	7
1	7
1	8
1	8
1	8
1	9
1	9
1	9
1	9
1	10
1	10
1	10
1	10
1	11
1	11
1	11
1	12
1	12
1	12
1	12
1	13
1	13
1	13
1	13
1	14
1	14
0	14
14 seconds, 48 generations
=====================
=====================
K = 29
BestFitness	Seconds
8	1
8	1
7	1
6	2
6	2
5	2
5	3
5	3
4	3
4	4
4	4
4	4
4	5
4	5
4	5
4	5
4	6
4	6
4	6
4	7
4	7
4	7
4	8
4	8
4	8
4	9
4	9
4	9
4	9
3	10
3	10
3	10
3	11
3	11
3	11
3	11
3	12
3	12
3	12
3	13
3	13
3	13
3	14
3	14
3	14
3	14
3	15
2	15
2	15
2	16
2	16
2	16
2	16
2	17
2	17
2	17
2	18
2	18
2	18
2	18
2	19
2	19
2	19
2	20
2	20
2	20
2	20
2	21
2	21
2	21
2	22
2	22
2	22
2	22
2	23
2	23
2	23
2	24
2	24
2	24
2	24
2	25
2	25
2	25
2	26
2	26
2	26
2	26
2	27
2	27
2	27
2	28
2	28
2	28
2	29
2	29
2	29
2	29
2	30
2	30
2	30
2	31
2	31
2	31
2	31
1	32
1	32
1	32
1	32
1	33
1	33
1	33
1	34
1	34
1	34
1	34
1	35
1	35
1	35
1	36
1	36
1	36
1	36
1	37
1	37
1	37
1	38
1	38
1	38
1	38
1	39
1	39
1	39
1	40
1	40
1	40
1	40
1	41
1	41
1	41
1	42
1	42
1	42
1	42
1	43
1	43
1	43
1	44
1	44
1	44
1	44
1	45
1	45
1	45
1	45
1	46
1	46
1	46
1	47
1	47
1	47
1	47
1	48
1	48
1	48
1	48
1	49
1	49
1	49
1	50
1	50
1	50
1	50
1	51
1	51
1	51
1	52
1	52
1	52
1	52
1	53
1	53
1	53
1	53
1	54
1	54
1	54
1	55
1	55
1	55
1	55
1	56
1	56
1	56
1	57
1	57
1	57
1	57
1	58
1	58
1	58
1	59
1	59
1	59
1	59
1	60
1	60
1	60
1	60
1	61
1	61
1	61
1	62
1	62
1	62
1	62
1	63
1	63
1	63
1	63
1	64
1	64
1	64
1	65
1	65
1	65
1	65
1	66
1	66
1	66
1	67
1	67
1	67
1	67
1	68
1	68
1	68
1	69
1	69
1	69
1	69
1	70
1	70
1	70
1	70
1	71
1	71
1	71
1	72
1	72
1	72
1	72
1	73
1	73
1	73
1	74
1	74
1	74
1	74
1	75
1	75
1	75
1	76
1	76
1	76
1	76
1	77
1	77
1	77
1	77
1	78
1	78
0	78
78 seconds, 273 generations
=====================
=====================
K = 28
BestFitness	Seconds
9	1
9	1
8	2
8	2
8	2
8	3
8	3
8	3
8	4
4	4
4	4
4	5
4	5
4	5
4	6
4	6
4	6
4	7
4	7
4	7
4	8
4	8
4	8
4	9
4	9
4	9
4	10
4	10
4	10
4	11
4	11
4	11
4	11
4	12
4	12
4	12
4	13
4	13
4	13
4	14
4	14
4	14
4	15
4	15
4	15
4	16
4	16
4	16
4	16
4	17
4	17
4	17
4	18
4	18
4	18
4	19
4	19
4	19
4	20
4	20
4	20
4	20
4	21
4	21
4	21
4	22
4	22
4	22
4	23
4	23
4	23
4	23
4	24
4	24
3	24
3	25
3	25
3	25
3	26
3	26
3	26
3	26
3	27
3	27
3	27
3	28
3	28
3	28
3	29
3	29
3	29
3	29
3	30
3	30
3	30
3	31
3	31
3	31
3	32
3	32
3	32
2	32
2	33
2	33
2	33
2	34
2	34
2	34
2	35
2	35
2	35
2	35
2	36
2	36
2	36
2	37
2	37
2	37
2	37
2	38
2	38
2	38
2	39
2	39
2	39
2	39
2	40
2	40
2	40
2	41
2	41
2	41
2	42
2	42
2	42
2	42
2	43
2	43
2	43
2	44
2	44
2	44
2	44
2	45
2	45
2	45
2	46
2	46
2	46
2	46
2	47
2	47
2	47
2	48
2	48
2	48
2	48
2	49
2	49
2	49
2	50
2	50
2	50
2	50
2	51
2	51
2	51
2	52
2	52
2	52
2	52
2	53
2	53
2	53
2	54
2	54
2	54
2	55
2	55
2	55
2	55
2	56
2	56
2	56
2	57
2	57
2	57
2	57
2	58
2	58
2	58
2	59
2	59
2	59
2	60
2	60
2	60
2	60
2	61
2	61
2	61
2	62
2	62
2	62
2	62
2	63
2	63
2	63
2	64
2	64
2	64
1	64
1	65
1	65
1	65
1	66
1	66
1	66
1	66
1	67
1	67
1	67
1	68
1	68
1	68
1	68
1	69
1	69
1	69
1	70
1	70
1	70
1	70
1	71
1	71
1	71
1	72
1	72
1	72
1	72
1	73
1	73
1	73
1	74
1	74
1	74
1	74
1	75
1	75
1	75
1	76
1	76
1	76
1	76
1	77
1	77
1	77
1	78
1	78
1	78
1	78
1	79
1	79
1	79
1	80
1	80
1	80
1	80
1	81
1	81
1	81
1	81
1	82
1	82
1	82
1	83
1	83
1	83
1	83
1	84
1	84
1	84
1	85
1	85
1	85
1	85
1	86
1	86
1	86
1	87
1	87
1	87
1	87
1	88
1	88
1	88
1	89
1	89
1	89
1	89
1	90
1	90
1	90
1	90
1	91
1	91
1	91
1	92
1	92
1	92
1	92
1	93
1	93
1	93
1	93
1	94
1	94
1	94
1	95
1	95
1	95
1	95
1	96
1	96
1	96
1	97
1	97
1	97
1	97
1	98
1	98
1	98
1	98
1	99
1	99
1	99
1	100
1	100
1	100
1	100
1	101
1	101
1	101
1	101
1	102
1	102
1	102
1	103
1	103
0	103
103 seconds, 350 generations
=====================
=====================
K = 27
BestFitness	Seconds
17	1
15	1
15	2
14	2
14	2
10	3
10	3
10	4
10	4
10	4
4	5
4	5
4	5
4	6
4	6
4	6
4	7
4	7
4	7
4	8
4	8
4	9
4	9
4	9
4	10
4	10
4	10
4	11
4	11
4	11
4	12
4	12
4	12
4	13
4	13
4	13
4	14
4	14
4	14
4	15
4	15
4	15
4	16
4	16
4	17
4	17
4	17
4	18
4	18
4	18
4	19
4	19
4	19
4	20
4	20
4	20
4	21
4	21
4	21
4	22
4	22
4	22
4	23
4	23
4	23
4	24
4	24
4	24
4	25
4	25
4	25
4	26
4	26
4	26
4	27
4	27
4	27
4	28
4	28
4	28
4	29
4	29
4	29
4	30
4	30
4	30
4	31
4	31
4	31
4	31
4	32
4	32
4	32
4	33
4	33
4	33
4	34
4	34
4	34
4	35
4	35
4	35
4	36
4	36
4	36
4	37
4	37
4	37
4	38
4	38
4	38
4	39
4	39
4	39
4	40
4	40
4	40
4	41
4	41
4	41
4	42
4	42
4	42
4	43
4	43
4	43
4	44
4	44
4	44
4	44
4	45
4	45
4	45
4	46
4	46
4	46
4	47
4	47
4	47
4	48
4	48
4	48
4	49
4	49
4	49
4	50
4	50
4	50
4	51
4	51
4	51
4	52
4	52
4	52
4	53
4	53
4	53
4	54
4	54
4	54
4	55
4	55
4	55
4	56
4	56
4	56
4	57
4	57
4	57
4	58
4	58
4	58
4	59
4	59
4	59
4	59
4	60
4	60
4	60
4	61
4	61
4	61
4	62
4	62
4	62
4	63
4	63
4	63
4	64
4	64
4	64
4	65
4	65
4	65
4	66
4	66
4	66
4	67
4	67
4	67
4	67
4	68
4	68
4	68
4	69
4	69
4	69
4	70
4	70
4	70
4	71
4	71
4	71
4	72
4	72
4	72
4	73
4	73
4	73
4	74
4	74
4	74
4	75
4	75
4	75
4	76
4	76
4	76
4	77
4	77
4	77
4	78
4	78
4	78
4	79
4	79
4	79
4	80
4	80
4	80
4	81
4	81
4	81
4	82
4	82
4	82
4	83
4	83
4	83
4	84
4	84
4	84
4	85
4	85
4	85
4	86
4	86
4	86
4	86
4	87
4	87
4	87
4	88
4	88
4	88
4	89
4	89
4	89
4	90
4	90
4	90
4	91
4	91
4	91
4	92
4	92
4	92
4	93
4	93
4	93
4	94
4	94
4	94
4	95
4	95
4	95
4	96
4	96
4	96
4	97
4	97
4	97
4	97
4	98
4	98
4	98
4	99
4	99
4	99
4	100
4	100
4	100
4	101
4	101
4	101
4	102
4	102
4	102
4	102
4	103
4	103
4	103
4	104
4	104
4	104
4	105
4	105
4	105
4	106
4	106
4	106
4	106
4	107
4	107
4	107
4	108
4	108
4	108
4	109
4	109
3	109
3	110
3	110
3	110
3	110
3	111
3	111
3	111
3	112
3	112
3	112
3	113
3	113
3	113
3	113
3	114
3	114
3	114
3	115
3	115
3	115
3	116
3	116
3	116
3	117
3	117
3	117
3	118
3	118
3	118
3	119
3	119
3	119
3	120
3	120
3	120
3	120
3	121
3	121
3	121
3	122
3	122
3	122
3	122
3	123
3	123
3	123
3	123
3	124
3	124
3	124
3	125
3	125
3	125
3	125
3	126
3	126
3	126
3	126
3	127
3	127
3	127
3	127
3	128
3	128
3	128
3	128
3	129
3	129
3	129
3	130
3	130
3	130
3	130
3	131
3	131
3	131
3	131
3	132
3	132
3	132
3	132
3	133
3	133
3	133
3	133
3	134
2	134
2	134
2	135
2	135
2	135
2	135
2	136
2	136
2	136
2	136
2	137
2	137
2	137
2	137
2	138
2	138
2	138
2	138
2	139
2	139
2	139
2	139
2	140
2	140
2	140
2	140
2	141
2	141
2	141
2	141
2	142
2	142
2	142
2	142
2	143
2	143
2	143
2	143
2	144
2	144
2	144
2	144
2	145
2	145
2	145
2	145
2	146
2	146
2	146
2	146
2	147
2	147
2	147
2	147
2	148
1	148
1	148
1	148
1	149
1	149
1	149
1	149
1	150
1	150
1	150
1	150
1	151
1	151
1	151
1	151
1	152
1	152
1	152
1	152
1	153
0	153
153 seconds, 493 generations
=====================
=====================
K = 26
BestFitness	Seconds
20	1
15	1
15	2
15	2
15	2
15	3
15	3
15	4
15	4
15	4
15	5
15	5
15	5
15	6
15	6
13	7
13	7
13	7
13	8
13	8
13	8
13	9
13	9
13	9
12	10
12	10
12	11
12	11
12	11
12	12
12	12
12	12
12	13
12	13
12	13
12	14
12	14
12	14
12	15
12	15
12	15
12	16
12	16
12	17
12	17
11	17
11	18
11	18
11	19
11	19
11	19
11	20
11	20
11	21
11	21
11	21
11	22
11	22
11	22
11	23
11	23
11	23
11	24
11	24
11	25
11	25
11	25
11	26
11	26
11	26
11	27
11	27
11	27
11	28
11	28
11	29
11	29
11	29
11	30
11	30
9	30
9	31
9	31
9	31
9	32
9	32
9	32
9	33
9	33
9	34
9	34
9	34
9	35
9	35
9	35
9	36
9	36
9	36
9	37
9	37
9	37
9	38
9	38
9	38
9	39
9	39
9	39
9	40
9	40
9	40
9	41
9	41
9	41
9	42
9	42
9	43
9	43
9	43
